ID,Name,Address,AdmArea,District,geoData,Category,SubCategory
Спорт.Спортивные объекты Москвы.1074997709,Физкультурно-оздоровительный комплекс «ГБУ «Московская баскетбольная академия» Москомспорта структурное подразделение СШОР № 56» (100332),"город Москва, Новосибирская улица, дом 11А",Восточный административный округ,район Гольяново,"{'coordinates': [37.8178700739872, 55.8159610872981], 'type': 'Point'}",Спорт,Спортивные объекты Москвы
Спорт.Спортивные объекты Москвы.1074997710,Физкультурно-оздоровительный комплекс «Гелиос» (106107),"город Москва, Лухмановская улица, дом 10А",Восточный административный округ,район Косино-Ухтомский,"{'coordinates': [37.9004599933345, 55.7160207599354], 'type': 'Point'}",Спорт,Спортивные объекты Москвы
Спорт.Спортивные объекты Москвы.1074997711,Физкультурно-оздоровительный комплекс «ГБУ «ЦОП» Москомспорта» (101743),"город Москва, Окружной проезд, дом 15А",Восточный административный округ,район Соколиная Гора,"{'coordinates': [37.7407617681176, 55.7890644660846], 'type': 'Point'}",Спорт,Спортивные объекты Москвы
Спорт.Спортивные объекты Москвы.1074997712,"Спортивный комплекс «Серебряный» ул. Генерала Глаголева, дом 10, корпус 3, строение 2 (121398)","Российская Федерация, город Москва, внутригородская территория муниципальный округ Хорошево-Мневники, улица Генерала Глаголева, дом 10, корпус 3, строение 2",Северо-Западный административный округ,район Хорошёво-Мнёвники,"{'coordinates': [37.4654748038317, 55.7814707647778], 'type': 'Point'}",Спорт,Спортивные объекты Москвы
Спорт.Спортивные объекты Москвы.1074997713,Спортивный комплекс «Альбатрос Внуково» (106940),"город Москва, Рассказовская улица, дом 31",Западный административный округ,район Внуково,"{'coordinates': [37.31039275063, 55.6135005327303], 'type': 'Point'}",Спорт,Спортивные объекты Москвы
Спорт.Спортивные объекты Москвы.1074997714,Спортивный клуб «Ладья» (100978),"город Москва, Матвеевская улица, дом 36",Западный административный округ,район Очаково-Матвеевское,"{'coordinates': [37.4596736304224, 55.705092966069], 'type': 'Point'}",Спорт,Спортивные объекты Москвы
Спорт.Спортивные объекты Москвы.1074997715,Бассейн плавательный крытый ГБОУ ЦСиО Самбо-70 Москомспорта отделение Юность (106320),"город Москва, улица Академика Бакулева, дом 5",Юго-Западный административный округ,район Тёплый Стан,"{'coordinates': [37.4833839756074, 55.6407697485199], 'type': 'Point'}",Спорт,Спортивные объекты Москвы
Спорт.Спортивные объекты Москвы.1074997716,ВМХ-велодром «Амурский» (102086),"город Москва, Амурская улица, дом 16, строение 1",Восточный административный округ,район Гольяново,"{'coordinates': [37.7660346756627, 55.8078928459535], 'type': 'Point'}",Спорт,Спортивные объекты Москвы
Спорт.Спортивные объекты Москвы.1074997718,Стадион «Ангстрем» (107560),"город Москва, город Зеленоград, Озёрная аллея, дом 3",Зеленоградский административный округ,район Старое Крюково,"{'coordinates': [37.2242845610467, 55.9823243002366], 'type': 'Point'}",Спорт,Спортивные объекты Москвы
Спорт.Спортивные объекты Москвы.1074997719,Спортивная школа «Снежные барсы» (103687),"город Москва, улица Николая Старостина, дом 8",Восточный административный округ,район Косино-Ухтомский,"{'coordinates': [37.8532030245653, 55.730368936774], 'type': 'Point'}",Спорт,Спортивные объекты Москвы
Спорт.Спортивные объекты Москвы.1074997720,Дворец спорта «Янтарь» (108262),"город Москва, улица Маршала Катукова, дом 22",Северо-Западный административный округ,район Строгино,"{'coordinates': [37.4114122241791, 55.8044729802755], 'type': 'Point'}",Спорт,Спортивные объекты Москвы
Спорт.Спортивные объекты Москвы.1074997721,Атлетический клуб «Аксон» имени Ю.С. Поветкина (109898),"Российская Федерация, город Москва, внутригородская территория муниципальный округ Южнопортовый, Шарикоподшипниковская улица, дом 6/14",Юго-Восточный административный округ,Южнопортовый район,"{'coordinates': [37.6733659728101, 55.7202014080955], 'type': 'Point'}",Спорт,Спортивные объекты Москвы
Спорт.Спортивные объекты Москвы.1074997723,Крытое сооружение с искусственным льдом «Спортивная школа олимпийского резерва «Москвич» Департамента спорта города Москвы» (109913),"город Москва, Волгоградский проспект, дом 46/15, строение 10",Юго-Восточный административный округ,район Текстильщики,"{'coordinates': [37.7383551028665, 55.7082613665889], 'type': 'Point'}",Спорт,Спортивные объекты Москвы
Спорт.Спортивные объекты Москвы.1074997724,Бассейн плавательный «ГБОУ ЦСиО Самбо-70 отделение Ясенево» (108137),"город Москва, Вильнюсская улица, дом 6, корпус 1",Юго-Западный административный округ,район Ясенево,"{'coordinates': [37.5190096614501, 55.6047870521945], 'type': 'Point'}",Спорт,Спортивные объекты Москвы
Спорт.Спортивные объекты Москвы.1074997725,Физкультурно-оздоровительный комплекс «Одиссей» (106112),"город Москва, улица Молостовых, дом 10Д",Восточный административный округ,район Ивановское,"{'coordinates': [37.8285102491566, 55.7590329885204], 'type': 'Point'}",Спорт,Спортивные объекты Москвы
Спорт.Спортивные объекты Москвы.1074997726,Спортивный комплекс «Ново-Переделкино» (108110),"город Москва, Проектируемый проезд № 635, дом 9, корпус 1",Западный административный округ,район Ново-Переделкино,"{'coordinates': [37.3797200486554, 55.6302163540462], 'type': 'Point'}",Спорт,Спортивные объекты Москвы
Спорт.Спортивные объекты Москвы.1074997727,Физкультурно-оздоровительный комплекс «Центр олимпийской подготовки» Москомспорта (121352),"город Москва, Западная улица, дом 16Б, строение 5",Восточный административный округ,район Восточный,"{'coordinates': [37.8796528726498, 55.8157355295674], 'type': 'Point'}",Спорт,Спортивные объекты Москвы
Спорт.Спортивные объекты Москвы.1074997728,"Комплекс спортивных сооружений «ГБУ «СШОР по теннису «Олимпиец» Москомспорта» (119607, улица Удальцова, дом 54) (108088)","город Москва, улица Удальцова, дом 54",Западный административный округ,район Проспект Вернадского,"{'coordinates': [37.4909697565563, 55.6862238178472], 'type': 'Point'}",Спорт,Спортивные объекты Москвы
Спорт.Спортивные объекты Москвы.1074997729,Стадион «Красный Октябрь» (103219),"город Москва, Тушинская улица, дом 16",Северо-Западный административный округ,район Покровское-Стрешнево,"{'coordinates': [37.4448893047888, 55.827397140772], 'type': 'Point'}",Спорт,Спортивные объекты Москвы
Спорт.Спортивные объекты Москвы.1074997731,Спортивно-оздоровительный центр ГБУ «ФСО «Юность Москвы» Москомспорта (107206),"город Москва, Ленинградский проспект, дом 31, строение 1",Северный административный округ,район Беговой,"{'coordinates': [37.5631500302437, 55.7842250385881], 'type': 'Point'}",Спорт,Спортивные объекты Москвы
Спорт.Спортивные объекты Москвы.1074997732,Физкультурно-спортивный центр «Экстрим» (115343),"город Москва, улица Госпитальный Вал, дом 1А, строение 1",Центральный административный округ,Басманный район,"{'coordinates': [37.7029583124757, 55.7705337196034], 'type': 'Point'}",Спорт,Спортивные объекты Москвы
Спорт.Спортивные объекты Москвы.1074997733,Спортивный комплекс «Ледовый» (108168),"город Москва, город Зеленоград, корпус 2045",Зеленоградский административный округ,район Крюково,"{'coordinates': [37.1681691573643, 55.9710441377562], 'type': 'Point'}",Спорт,Спортивные объекты Москвы
Спорт.Спортивные объекты Москвы.1074997735,Спортивная школа «Центр» (106356),"город Москва, улица Талалихина, дом 28, строение 4",Центральный административный округ,Таганский район,"{'coordinates': [37.6786771154246, 55.7304110958247], 'type': 'Point'}",Спорт,Спортивные объекты Москвы
Спорт.Спортивные объекты Москвы.1074997736,Физкультурно-оздоровительный комплекс «ГБУ «Московская баскетбольная академия» Москомспорта Структурное подразделение СШОР №71 «Тимирязевская» (107151),"город Москва, улица 800-летия Москвы, дом 7Б",Северный административный округ,район Восточное Дегунино,"{'coordinates': [37.5598656284705, 55.8812295611605], 'type': 'Point'}",Спорт,Спортивные объекты Москвы
Спорт.Спортивные объекты Москвы.1074997737,Физкультурно-оздоровительный комплекс с бассейном «Альбатрос» ГБУ «ЦФКиС ВАО г. Москвы» Москомспорта» (106110),"город Москва, Лухмановская улица, дом 19А",Восточный административный округ,район Косино-Ухтомский,"{'coordinates': [37.8979972125048, 55.7231088810917], 'type': 'Point'}",Спорт,Спортивные объекты Москвы
Спорт.Спортивные объекты Москвы.1074997738,Физкультурно-оздоровительный комплекс с бассейном «Жемчужина» (108257),"город Москва, улица Генерала Белобородова, дом 29",Северо-Западный административный округ,район Митино,"{'coordinates': [37.3564046826807, 55.8322190312922], 'type': 'Point'}",Спорт,Спортивные объекты Москвы
Спорт.Спортивные объекты Москвы.1074997739,Стадион «Рублево» (108116),"город Москва, улица Василия Ботылёва, дом 41",Западный административный округ,район Кунцево,"{'coordinates': [37.3533273806113, 55.7886311687341], 'type': 'Point'}",Спорт,Спортивные объекты Москвы
Спорт.Спортивные объекты Москвы.1074997740,Физкультурно-оздоровительный комплекс «ГБОУ «ЦСиО «Самбо-70» Москомспорта отделение «Олимпия»» (108184),"город Москва, улица Кравченко, дом 6А",Юго-Западный административный округ,Ломоносовский район,"{'coordinates': [37.5208741130813, 55.6777980669466], 'type': 'Point'}",Спорт,Спортивные объекты Москвы
Спорт.Спортивные объекты Москвы.1074997742,Спортивный комплекс «Восход Солнцево»(108054),"город Москва, улица Щорса, дом 6",Западный административный округ,район Солнцево,"{'coordinates': [37.4030532019483, 55.6467691184285], 'type': 'Point'}",Спорт,Спортивные объекты Москвы
Спорт.Спортивные объекты Москвы.1074997743,Спортивный комплекс «Ритм»(102406),"город Москва, Кунцевская улица, дом 6",Западный административный округ,район Кунцево,"{'coordinates': [37.4175355910286, 55.731668892292], 'type': 'Point'}",Спорт,Спортивные объекты Москвы
Спорт.Спортивные объекты Москвы.1074997744,Спортивный комплекс высшего учебного заведения «ГАОУ ВО Московский государственный университет спорта и туризма» (Южный кампус) (108270),"Российская Федерация, город Москва, внутригородская территория муниципальный округ Чертаново Южное, Кировоградская улица, дом 21, корпус 1, строение 2",Южный административный округ,район Чертаново Южное,"{'coordinates': [37.6025263794066, 55.6021689717433], 'type': 'Point'}",Спорт,Спортивные объекты Москвы
