AdmArea,geoData,Name,District,Address,ID,Category,SubCategory
Юго-Западный административный округ,"{'coordinates': [37.5329736608973, 55.6423657827694], 'type': 'Point'}",РГАИС,район Коньково,"город Москва, улица Миклухо-Маклая, дом 55А",Образование.Вузы.639894179,Образование,Вузы
Северный административный округ,"{'coordinates': [37.4983922468972, 55.8073663116742], 'type': 'Point'}",Строгановка,район Сокол,"город Москва, Волоколамское шоссе, дом 9, строение 1",Образование.Вузы.639894180,Образование,Вузы
Северный административный округ,"{'coordinates': [37.4982061381772, 55.8051314192507], 'type': 'Point'}",Академия СК,район Сокол,"город Москва, улица Врубеля, дом 12",Образование.Вузы.639894181,Образование,Вузы
Центральный административный округ,"{'coordinates': [37.6845370015955, 55.7659864746526], 'type': 'Point'}",МГТУ им. Баумана,Басманный район,"город Москва, 2-я Бауманская улица, дом 5, строение 1",Образование.Вузы.639894182,Образование,Вузы
Восточный административный округ,"{'coordinates': [37.7192390215194, 55.783644667323], 'type': 'Point'}",МОИ,район Соколиная Гора,"город Москва, улица Измайловский Вал, дом 2",Образование.Вузы.639894183,Образование,Вузы
Северный административный округ,"{'coordinates': [37.5063769961403, 55.8432484575949], 'type': 'Point'}",МГТУ ГА,Головинский район,"город Москва, Кронштадтский бульвар, дом 20",Образование.Вузы.639894185,Образование,Вузы
Центральный административный округ,"{'coordinates': [37.608955937198, 55.7282462863803], 'type': 'Point'}",МИСиС,район Якиманка,"город Москва, Ленинский проспект, дом 4, строение 1",Образование.Вузы.639894186,Образование,Вузы
Восточный административный округ,"{'coordinates': [37.7902919271632, 55.7606712697491], 'type': 'Point'}",НИТИ,район Перово,"город Москва, Новогиреевская улица, дом 14А",Образование.Вузы.639894187,Образование,Вузы
Юго-Восточный административный округ,"{'coordinates': [37.7365812764106, 55.70280766344], 'type': 'Point'}",НОЧУ ВО МЭИ,район Текстильщики,"город Москва, улица Артюхиной, дом 6, корпус 1",Образование.Вузы.639894188,Образование,Вузы
Центральный административный округ,"{'coordinates': [37.6124339701808, 55.7597438060414], 'type': 'Point'}",Школа-студия МХАТ,Тверской район,"город Москва, Тверская улица, дом 6, строение 7",Образование.Вузы.639894189,Образование,Вузы
Центральный административный округ,"{'coordinates': [37.6620211068024, 55.7634129464794], 'type': 'Point'}",МИИГАиК,Басманный район,"город Москва, Гороховский переулок, дом 4",Образование.Вузы.639894190,Образование,Вузы
Восточный административный округ,"{'coordinates': [37.7261703587633, 55.8275130628636], 'type': 'Point'}",МГГЭУ,район Метрогородок,"город Москва, Лосиноостровская улица, дом 49, строение 1",Образование.Вузы.639894194,Образование,Вузы
Западный административный округ,"{'coordinates': [37.5332424172093, 55.727496464467], 'type': 'Point'}",ВАВТ,район Раменки,"город Москва, улица Пудовкина, дом 4А",Образование.Вузы.639894196,Образование,Вузы
Северо-Восточный административный округ,"{'coordinates': [37.5992068898512, 55.8251965516044], 'type': 'Point'}",МЮИ,район Марфино,"город Москва, улица Кашёнкин Луг, дом 4",Образование.Вузы.639894198,Образование,Вузы
Южный административный округ,"{'coordinates': [37.6549447906984, 55.7003979750834], 'type': 'Point'}",МУ им. Витте,Даниловский район,"город Москва, 2-й Кожуховский проезд, дом 12, строение 1",Образование.Вузы.639894200,Образование,Вузы
Южный административный округ,"{'coordinates': [37.6116695418356, 55.7075373351405], 'type': 'Point'}",МПСУ,Даниловский район,"город Москва, 4-й Рощинский проезд, дом 9А",Образование.Вузы.639894782,Образование,Вузы
Северный административный округ,"{'coordinates': [37.5498621757939, 55.8329761048156], 'type': 'Point'}",Тимирязева,Тимирязевский район,"город Москва, Тимирязевская улица, дом 49",Образование.Вузы.639894783,Образование,Вузы
Центральный административный округ,"{'coordinates': [37.6157554294011, 55.7762810978117], 'type': 'Point'}",МГМСУ им. Евдокимова,Тверской район,"город Москва, Делегатская улица, дом 20, строение 1",Образование.Вузы.639894812,Образование,Вузы
Северо-Восточный административный округ,"{'coordinates': [37.6200988092499, 55.7981922946359], 'type': 'Point'}",МАБиУ,район Марьина Роща,"город Москва, 5-й проезд Марьиной Рощи, дом 15А",Образование.Вузы.639894813,Образование,Вузы
Юго-Западный административный округ,"{'coordinates': [37.5344958239699, 55.6824551630583], 'type': 'Point'}",ИГА,Ломоносовский район,"город Москва, Ленинский проспект, дом 80",Образование.Вузы.639894815,Образование,Вузы
Северный административный округ,"{'coordinates': [37.4965741150206, 55.8063825060204], 'type': 'Point'}",Пищевой,район Сокол,"город Москва, Волоколамское шоссе, дом 11, строение 1",Образование.Вузы.639894816,Образование,Вузы
