AdmArea,geoData,Name,District,Address,ID,Category,SubCategory
Северо-Западный административный округ,"{'coordinates': [[37.407307789817, 55.811459698337]], 'type': 'MultiPoint'}",Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 180 филиал № 2 Департамента здравоохранения города Москвы»,район Строгино,"город Москва, улица Исаковского, дом 16, корпус 2",Медицина.Поликлиническая помощь взрослым.656107412,Медицина,Поликлиническая помощь взрослым
Северо-Западный административный округ,"{'coordinates': [[37.361615871383, 55.849656910491]], 'type': 'MultiPoint'}",Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 180 филиал № 3 Департамента здравоохранения города Москвы»,район Митино,"город Москва, Пятницкое шоссе, дом 29, корпус 3, строение 1",Медицина.Поликлиническая помощь взрослым.656107724,Медицина,Поликлиническая помощь взрослым
Северо-Западный административный округ,"{'coordinates': [[37.356946232574, 55.842257861829]], 'type': 'MultiPoint'}",Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 180 филиал № 4 Департамента здравоохранения города Москвы»,район Митино,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Митино, Дубравная улица, дом 41",Медицина.Поликлиническая помощь взрослым.656106482,Медицина,Поликлиническая помощь взрослым
Восточный административный округ,"{'coordinates': [[37.818005740745, 55.820690653656]], 'type': 'MultiPoint'}",Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 191 Департамента здравоохранения города Москвы»,район Гольяново,"город Москва, Алтайская улица, дом 13",Медицина.Поликлиническая помощь взрослым.656106366,Медицина,Поликлиническая помощь взрослым
Восточный административный округ,"{'coordinates': [[37.811282933894, 55.813596842606]], 'type': 'MultiPoint'}",Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 191 филиал № 1 Департамента здравоохранения города Москвы»,район Гольяново,"город Москва, Чусовская улица, дом 9",Медицина.Поликлиническая помощь взрослым.656107416,Медицина,Поликлиническая помощь взрослым
Восточный административный округ,"{'coordinates': [[37.826613325483, 55.80520236822]], 'type': 'MultiPoint'}",Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 191 филиал № 2 Департамента здравоохранения города Москвы»,район Северное Измайлово,"город Москва, Сиреневый бульвар, дом 71А",Медицина.Поликлиническая помощь взрослым.656106685,Медицина,Поликлиническая помощь взрослым
Восточный административный округ,"{'coordinates': [[37.794468750115, 55.793824052155]], 'type': 'MultiPoint'}",Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 191 филиал № 3 Департамента здравоохранения города Москвы»,район Измайлово,"город Москва, Первомайская улица, дом 61/8",Медицина.Поликлиническая помощь взрослым.656107097,Медицина,Поликлиническая помощь взрослым
Восточный административный округ,"{'coordinates': [[37.779775051375, 55.812500868977]], 'type': 'MultiPoint'}",Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 191 филиал № 4 Департамента здравоохранения города Москвы»,район Гольяново,"город Москва, Амурская улица, дом 36",Медицина.Поликлиническая помощь взрослым.656107264,Медицина,Поликлиническая помощь взрослым
Западный административный округ,"{'coordinates': [[37.412016709406, 55.763763167803]], 'type': 'MultiPoint'}",Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 195 Департамента здравоохранения города Москвы»,район Крылатское,"город Москва, улица Крылатские Холмы, дом 51",Медицина.Поликлиническая помощь взрослым.879263948,Медицина,Поликлиническая помощь взрослым
Западный административный округ,"{'coordinates': [[37.352610383711, 55.78427067523]], 'type': 'MultiPoint'}",Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 195 филиал № 1 Департамента здравоохранения города Москвы»,район Кунцево,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Кунцево, посёлок Рублёво, Советская улица, дом 2",Медицина.Поликлиническая помощь взрослым.879263947,Медицина,Поликлиническая помощь взрослым
Западный административный округ,"{'coordinates': [[37.414307622891, 55.734569216325]], 'type': 'MultiPoint'}",Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 195 филиал № 2 Департамента здравоохранения города Москвы»,район Кунцево,"город Москва, Молодогвардейская улица, дом 40, корпус 1",Медицина.Поликлиническая помощь взрослым.656107849,Медицина,Поликлиническая помощь взрослым
Западный административный округ,"{'coordinates': [[37.421900682027, 55.734178270101]], 'type': 'MultiPoint'}",Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 195 филиал № 3 Департамента здравоохранения города Москвы»,район Кунцево,"город Москва, Молодогвардейская улица, дом 20, строение 1",Медицина.Поликлиническая помощь взрослым.1007353316,Медицина,Поликлиническая помощь взрослым
Западный административный округ,"{'coordinates': [[37.401682261691, 55.723304406964]], 'type': 'MultiPoint'}",Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 195 филиал № 4 Департамента здравоохранения города Москвы»,Можайский район,"город Москва, улица Маршала Неделина, дом 2",Медицина.Поликлиническая помощь взрослым.879263946,Медицина,Поликлиническая помощь взрослым
Западный административный округ,"{'coordinates': [[37.478679826007, 55.763898964369]], 'type': 'MultiPoint'}",Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 195 филиал № 5 Департамента здравоохранения города Москвы»,район Филёвский Парк,"город Москва, Филёвский бульвар, дом 18",Медицина.Поликлиническая помощь взрослым.656107176,Медицина,Поликлиническая помощь взрослым
Юго-Восточный административный округ,"{'coordinates': [[37.762449421034, 55.666309144859]], 'type': 'MultiPoint'}",Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 19 Департамента здравоохранения города Москвы»,район Марьино,"город Москва, улица Верхние Поля, дом 34, корпус 4",Медицина.Поликлиническая помощь взрослым.656106868,Медицина,Поликлиническая помощь взрослым
Юго-Восточный административный округ,"{'coordinates': [[37.752965370304, 55.675977594546]], 'type': 'MultiPoint'}",Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 19 филиал № 2 Департамента здравоохранения города Москвы»,район Люблино,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Люблино, Армавирская улица, дом 2/20",Медицина.Поликлиническая помощь взрослым.656106817,Медицина,Поликлиническая помощь взрослым
Юго-Восточный административный округ,"{'coordinates': [[37.771718471665, 55.67677814275]], 'type': 'MultiPoint'}",Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 19 филиал № 3 Департамента здравоохранения города Москвы»,район Люблино,"город Москва, Краснодарская улица, дом 63",Медицина.Поликлиническая помощь взрослым.656106230,Медицина,Поликлиническая помощь взрослым
Юго-Восточный административный округ,"{'coordinates': [[37.804961218834, 55.675750116915]], 'type': 'MultiPoint'}",Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 19 филиал № 3 Департамента здравоохранения города Москвы». Филиал,район Люблино,"город Москва, улица Головачёва, дом 3, корпус 1",Медицина.Поликлиническая помощь взрослым.919362020,Медицина,Поликлиническая помощь взрослым
Западный административный округ,"{'coordinates': [[37.491066546253, 55.688904634225]], 'type': 'MultiPoint'}",Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 209 Департамента здравоохранения города Москвы»,район Раменки,"город Москва, улица Раменки, дом 29",Медицина.Поликлиническая помощь взрослым.656106426,Медицина,Поликлиническая помощь взрослым
Западный административный округ,"{'coordinates': [[37.46243478959, 55.721612390747], [37.46292735486, 55.721820037625]], 'type': 'MultiPoint'}",Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 209 филиал № 1 Департамента здравоохранения города Москвы»,район Фили-Давыдково,"город Москва, Кременчугская улица, дом 7, корпус 1",Медицина.Поликлиническая помощь взрослым.656106576,Медицина,Поликлиническая помощь взрослым
Западный административный округ,"{'coordinates': [[37.513615398394, 55.712168637831], [37.513490763067, 55.712271573454]], 'type': 'MultiPoint'}",Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 209 филиал № 2 Департамента здравоохранения города Москвы»,район Раменки,"город Москва, Мосфильмовская улица, дом 29А, строение 1",Медицина.Поликлиническая помощь взрослым.656106480,Медицина,Поликлиническая помощь взрослым
Западный административный округ,"{'coordinates': [[37.478650096131, 55.712389530776]], 'type': 'MultiPoint'}",Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 209 филиал № 3 Департамента здравоохранения города Москвы»,район Очаково-Матвеевское,"город Москва, Веерная улица, дом 34",Медицина.Поликлиническая помощь взрослым.656107411,Медицина,Поликлиническая помощь взрослым
Южный административный округ,"{'coordinates': [[37.695535601451, 55.637487206635]], 'type': 'MultiPoint'}",Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 210 Департамента здравоохранения города Москвы»,район Москворечье-Сабурово,"город Москва, Каширское шоссе, дом 57, корпус 1",Медицина.Поликлиническая помощь взрослым.1007479533,Медицина,Поликлиническая помощь взрослым
Южный административный округ,"{'coordinates': [[37.742511846201, 55.63376870182]], 'type': 'MultiPoint'}",Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 210 филиал № 1 Департамента здравоохранения города Москвы»,район Братеево,"город Москва, улица Борисовские Пруды, дом 12, корпус 4",Медицина.Поликлиническая помощь взрослым.656107779,Медицина,Поликлиническая помощь взрослым
Южный административный округ,"{'coordinates': [[37.772058035655, 55.642207951246]], 'type': 'MultiPoint'}",Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 210 филиал № 2 Департамента здравоохранения города Москвы»,район Братеево,"город Москва, Алма-Атинская улица, дом 3, корпус 3",Медицина.Поликлиническая помощь взрослым.656106353,Медицина,Поликлиническая помощь взрослым
Южный административный округ,"{'coordinates': [[37.673676147214, 55.638764216716]], 'type': 'MultiPoint'}",Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 210 филиал № 3 Департамента здравоохранения города Москвы»,район Москворечье-Сабурово,"город Москва, улица Кошкина, дом 21",Медицина.Поликлиническая помощь взрослым.656107078,Медицина,Поликлиническая помощь взрослым
Западный административный округ,"{'coordinates': [[37.404168916681, 55.648475246677]], 'type': 'MultiPoint'}",Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 212 Департамента здравоохранения города Москвы»,район Солнцево,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Солнцево, Солнцевский проспект, дом 11А",Медицина.Поликлиническая помощь взрослым.1006659599,Медицина,Поликлиническая помощь взрослым
Западный административный округ,"{'coordinates': [[37.400070830464, 55.6518832366]], 'type': 'MultiPoint'}",Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 212 филиал № 194 Департамента здравоохранения города Москвы»,район Солнцево,"город Москва, Солнцевский проспект, дом 8",Медицина.Поликлиническая помощь взрослым.656106875,Медицина,Поликлиническая помощь взрослым
Западный административный округ,"{'coordinates': [[37.364829694749, 55.638335966147]], 'type': 'MultiPoint'}",Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 212 филиал № 197 Департамента здравоохранения города Москвы»,район Ново-Переделкино,"город Москва, Новоорловская улица, дом 4",Медицина.Поликлиническая помощь взрослым.656106481,Медицина,Поликлиническая помощь взрослым
Западный административный округ,"{'coordinates': [[37.29795855981, 55.61575005231]], 'type': 'MultiPoint'}",Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 212 филиал № 217 Департамента здравоохранения города Москвы»,район Внуково,"город Москва, Насосная улица, дом 1А, строение 1",Медицина.Поликлиническая помощь взрослым.1006659598,Медицина,Поликлиническая помощь взрослым
Новомосковский административный округ,"{'coordinates': [[37.313371315002, 55.624841798089]], 'type': 'MultiPoint'}",Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 212 филиал № 5 Департамента здравоохранения города Москвы»,поселение Внуковское,"город Москва, поселение Внуковское, улица Лётчика Грицевца, дом 14",Медицина.Поликлиническая помощь взрослым.889381261,Медицина,Поликлиническая помощь взрослым
Западный административный округ,"{'coordinates': [[37.340181585333, 55.638881709774]], 'type': 'MultiPoint'}",Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 212 филиал № 70 Департамента здравоохранения города Москвы»,район Ново-Переделкино,"город Москва, улица Скульптора Мухиной, дом 14",Медицина.Поликлиническая помощь взрослым.1006659604,Медицина,Поликлиническая помощь взрослым
Южный административный округ,"{'coordinates': [[37.732226963783, 55.607203327459]], 'type': 'MultiPoint'}",Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 214 Департамента здравоохранения города Москвы»,район Орехово-Борисово Южное,"город Москва, Елецкая улица, дом 14",Медицина.Поликлиническая помощь взрослым.1011178780,Медицина,Поликлиническая помощь взрослым
Южный административный округ,"{'coordinates': [[37.735353191556, 55.616498959879]], 'type': 'MultiPoint'}",Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 214 филиал № 1 Департамента здравоохранения города Москвы»,район Зябликово,"город Москва, Ореховый бульвар, дом 35, корпус 2",Медицина.Поликлиническая помощь взрослым.1011178784,Медицина,Поликлиническая помощь взрослым
Южный административный округ,"{'coordinates': [[37.720847329348, 55.617841289537]], 'type': 'MultiPoint'}",Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 214 филиал № 2 Департамента здравоохранения города Москвы»,район Орехово-Борисово Северное,"город Москва, улица Генерала Белова, дом 19, корпус 2",Медицина.Поликлиническая помощь взрослым.1011178781,Медицина,Поликлиническая помощь взрослым
Северо-Восточный административный округ,"{'coordinates': [[37.65372218132, 55.885045487688], [37.646873366117, 55.87454384372]], 'type': 'MultiPoint'}",Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 218 Департамента здравоохранения города Москвы»,район Северное Медведково,"город Москва, улица Тихомирова, дом 12, корпус 2",Медицина.Поликлиническая помощь взрослым.1011814576,Медицина,Поликлиническая помощь взрослым
Северо-Восточный административный округ,"{'coordinates': [[37.666937165004, 55.864693949738]], 'type': 'MultiPoint'}",Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 218 филиал № 1 Департамента здравоохранения города Москвы»,Бабушкинский район,"город Москва, Печорская улица, дом 10, корпус 2",Медицина.Поликлиническая помощь взрослым.656106988,Медицина,Поликлиническая помощь взрослым
Северо-Восточный административный округ,"{'coordinates': [[37.710229625022, 55.872419773374]], 'type': 'MultiPoint'}",Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 218 филиал № 2 Департамента здравоохранения города Москвы»,Ярославский район,"город Москва, Лосевская улица, дом 2",Медицина.Поликлиническая помощь взрослым.1011814581,Медицина,Поликлиническая помощь взрослым
Северо-Восточный административный округ,"{'coordinates': [[37.692285242302, 55.879918305075]], 'type': 'MultiPoint'}",Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 218 филиал № 3 Департамента здравоохранения города Москвы»,Лосиноостровский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Лосиноостровский, 1-я Напрудная улица, дом 15",Медицина.Поликлиническая помощь взрослым.1011814577,Медицина,Поликлиническая помощь взрослым
Северо-Восточный административный округ,"{'coordinates': [[37.662683321063, 55.889310534733]], 'type': 'MultiPoint'}",Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 218 филиал № 4 Департамента здравоохранения города Москвы»,район Северное Медведково,"город Москва, улица Грекова, дом 12",Медицина.Поликлиническая помощь взрослым.1011814580,Медицина,Поликлиническая помощь взрослым
Северо-Восточный административный округ,"{'coordinates': [[37.72602608891, 55.877142751226]], 'type': 'MultiPoint'}",Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 218 филиал № 5 Департамента здравоохранения города Москвы»,Ярославский район,"город Москва, улица Ротерта, дом 12",Медицина.Поликлиническая помощь взрослым.1011814578,Медицина,Поликлиническая помощь взрослым
Северо-Западный административный округ,"{'coordinates': [[37.405638157686, 55.849520153762]], 'type': 'MultiPoint'}",Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 219 Департамента здравоохранения города Москвы»,район Южное Тушино,"город Москва, бульвар Яна Райниса, дом 47",Медицина.Поликлиническая помощь взрослым.656107791,Медицина,Поликлиническая помощь взрослым
Северо-Западный административный округ,"{'coordinates': [[37.419455337841, 55.835206868519]], 'type': 'MultiPoint'}",Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 219 Департамента здравоохранения города Москвы». Филиал,район Покровское-Стрешнево,"город Москва, 2-й Тушинский проезд, дом 8",Медицина.Поликлиническая помощь взрослым.656107533,Медицина,Поликлиническая помощь взрослым
Северо-Западный административный округ,"{'coordinates': [[37.422337258092, 55.862016727794]], 'type': 'MultiPoint'}",Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 219 филиал № 1 Департамента здравоохранения города Москвы»,район Северное Тушино,"город Москва, улица Вилиса Лациса, дом 23, корпус 2",Медицина.Поликлиническая помощь взрослым.656107893,Медицина,Поликлиническая помощь взрослым
Северо-Западный административный округ,"{'coordinates': [[37.431047518082, 55.851344539706]], 'type': 'MultiPoint'}",Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 219 филиал № 2 Департамента здравоохранения города Москвы»,район Северное Тушино,"город Москва, бульвар Яна Райниса, дом 4",Медицина.Поликлиническая помощь взрослым.656107646,Медицина,Поликлиническая помощь взрослым
Северо-Западный административный округ,"{'coordinates': [[37.43585385297, 55.861212304108]], 'type': 'MultiPoint'}",Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 219 филиал № 3 Департамента здравоохранения города Москвы»,район Северное Тушино,"город Москва, Планерная улица, дом 8",Медицина.Поликлиническая помощь взрослым.656106695,Медицина,Поликлиническая помощь взрослым
Северо-Западный административный округ,"{'coordinates': [[37.391256047957, 55.894142606488]], 'type': 'MultiPoint'}",Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 219 филиал № 4 Департамента здравоохранения города Москвы»,район Куркино,"город Москва, Родионовская улица, дом 10, корпус 2",Медицина.Поликлиническая помощь взрослым.656106379,Медицина,Поликлиническая помощь взрослым
Центральный административный округ,"{'coordinates': [[37.567585197319, 55.760338086621]], 'type': 'MultiPoint'}",Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 220 Департамента здравоохранения города Москвы»,Пресненский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, улица Заморёнова, дом 27",Медицина.Поликлиническая помощь взрослым.1011619306,Медицина,Поликлиническая помощь взрослым
Центральный административный округ,"{'coordinates': [[37.542939909163, 55.756253819874]], 'type': 'MultiPoint'}",Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 220 филиал № 1 Департамента здравоохранения города Москвы»,Пресненский район,"город Москва, Шмитовский проезд, дом 25, строение 1",Медицина.Поликлиническая помощь взрослым.656107061,Медицина,Поликлиническая помощь взрослым
Центральный административный округ,"{'coordinates': [[37.521444351884, 55.752939375141]], 'type': 'MultiPoint'}",Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 220 филиал № 2 Департамента здравоохранения города Москвы»,Пресненский район,"город Москва, Шелепихинская набережная, дом 12",Медицина.Поликлиническая помощь взрослым.656106136,Медицина,Поликлиническая помощь взрослым
Центральный административный округ,"{'coordinates': [[37.566382364735, 55.765274258825]], 'type': 'MultiPoint'}",Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 220 филиал № 3 Департамента здравоохранения города Москвы»,Пресненский район,"город Москва, Расторгуевский переулок, дом 3",Медицина.Поликлиническая помощь взрослым.1011619308,Медицина,Поликлиническая помощь взрослым
Юго-Западный административный округ,"{'coordinates': [[37.576578120136, 55.681798755691]], 'type': 'MultiPoint'}",Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 22 Департамента здравоохранения города Москвы»,Академический район,"город Москва, улица Кедрова, дом 24",Медицина.Поликлиническая помощь взрослым.656106135,Медицина,Поликлиническая помощь взрослым
Юго-Западный административный округ,"{'coordinates': [[37.565885331176, 55.667543834128]], 'type': 'MultiPoint'}",Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 22 филиал № 1 Департамента здравоохранения города Москвы»,район Черёмушки,"город Москва, улица Цюрупы, дом 30/63",Медицина.Поликлиническая помощь взрослым.656107942,Медицина,Поликлиническая помощь взрослым
Юго-Западный административный округ,"{'coordinates': [[37.57995583984, 55.686170965012]], 'type': 'MultiPoint'}",Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 22 филиал № 2 Департамента здравоохранения города Москвы»,Академический район,"город Москва, улица Дмитрия Ульянова, дом 25",Медицина.Поликлиническая помощь взрослым.656106296,Медицина,Поликлиническая помощь взрослым
Юго-Западный административный округ,"{'coordinates': [[37.594467805202, 55.687750583468]], 'type': 'MultiPoint'}",Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 22 филиал № 3 Департамента здравоохранения города Москвы»,Академический район,"город Москва, Большая Черёмушкинская улица, дом 6А",Медицина.Поликлиническая помощь взрослым.656106716,Медицина,Поликлиническая помощь взрослым
Юго-Западный административный округ,"{'coordinates': [[37.597519805885, 55.67773632142]], 'type': 'MultiPoint'}",Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 22 филиал № 4 Департамента здравоохранения города Москвы»,район Котловка,"город Москва, улица Ремизова, дом 6",Медицина.Поликлиническая помощь взрослым.656106963,Медицина,Поликлиническая помощь взрослым
Юго-Западный административный округ,"{'coordinates': [[37.550135301891, 55.681728914177]], 'type': 'MultiPoint'}",Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 22 филиал № 5 Департамента здравоохранения города Москвы»,Ломоносовский район,"город Москва, улица Вавилова, дом 71, строение 1",Медицина.Поликлиническая помощь взрослым.656107787,Медицина,Поликлиническая помощь взрослым
Юго-Восточный административный округ,"{'coordinates': [[37.85191313482, 55.685208592099]], 'type': 'MultiPoint'}",Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 23 Департамента здравоохранения города Москвы»,район Выхино-Жулебино,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Выхино-Жулебино, улица Авиаконструктора Миля, дом 6, корпус 1",Медицина.Поликлиническая помощь взрослым.656107940,Медицина,Поликлиническая помощь взрослым
Юго-Восточный административный округ,"{'coordinates': [[37.848155700843, 55.699203471285]], 'type': 'MultiPoint'}",Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 23 филиал № 1 Департамента здравоохранения города Москвы»,район Выхино-Жулебино,"город Москва, Жулебинский бульвар, дом 8",Медицина.Поликлиническая помощь взрослым.656106378,Медицина,Поликлиническая помощь взрослым
Юго-Восточный административный округ,"{'coordinates': [[37.810170877372, 55.699372364202]], 'type': 'MultiPoint'}",Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 23 филиал № 2 Департамента здравоохранения города Москвы»,район Выхино-Жулебино,"город Москва, Ташкентская улица, дом 25, корпус 2, строение 1",Медицина.Поликлиническая помощь взрослым.656106587,Медицина,Поликлиническая помощь взрослым
Юго-Восточный административный округ,"{'coordinates': [[37.797398741619, 55.719644411648]], 'type': 'MultiPoint'}",Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 23 филиал № 3 Департамента здравоохранения города Москвы»,Рязанский район,"город Москва, улица Вострухина, дом 5",Медицина.Поликлиническая помощь взрослым.656107027,Медицина,Поликлиническая помощь взрослым
Юго-Восточный административный округ,"{'coordinates': [[37.916886731905, 55.683607374918]], 'type': 'MultiPoint'}",Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 23 филиал № 4 Департамента здравоохранения города Москвы»,район Некрасовка,"город Москва, 1-я Вольская улица, дом 3, корпус 1",Медицина.Поликлиническая помощь взрослым.671090843,Медицина,Поликлиническая помощь взрослым
Юго-Восточный административный округ,"{'coordinates': [[37.929872194591, 55.69860398119]], 'type': 'MultiPoint'}",Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 23 филиал № 5 Департамента здравоохранения города Москвы»,район Некрасовка,"город Москва, улица Недорубова, дом 2",Медицина.Поликлиническая помощь взрослым.656106632,Медицина,Поликлиническая помощь взрослым
